group_method,deployability,split,group_id,model_id,n_queries,mean_utility,utility_variance,quality_variance,ci_width_utility_95,samples_needed_for_0p03
benchmark_label,diagnostic_label,test,aime,deterministic_math_tool,12,0.3333333333333333,0.2424242424242424,0.2424242424242424,0.5571645387426619,1035.0
benchmark_label,diagnostic_label,test,aime,gemini-3.5-flash,12,-0.019789731757026943,1.332881228094002e-05,0.0,0.00413134220556545,1.0
benchmark_label,diagnostic_label,test,aime,gemini-3.5-flash-strong-solve,12,-0.34721211769410365,3.557476395605981e-05,0.0,0.006749420054434291,1.0
benchmark_label,diagnostic_label,test,aime,gpt-5.5,12,-0.4946255197382281,0.13901208950810623,0.08333333333333334,0.4219118561399371,594.0
benchmark_label,diagnostic_label,test,aime,qwen3-14b-awq-local,12,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,aime,qwen3-32b-awq-local,12,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,aime,qwen3-32b-awq-selfconsistency-n3-local,12,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,aime,qwen3-4b-local,12,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,aime,qwen3-8b-local,12,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,bbh,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,bbh,gemini-3.5-flash,20,0.8560500512751055,0.09582722879649501,0.09473684210526315,0.27134107029516014,410.0
benchmark_label,diagnostic_label,test,bbh,gemini-3.5-flash-strong-solve,20,0.7574775308618088,0.10780646786875375,0.09473684210526315,0.2878017814276362,461.0
benchmark_label,diagnostic_label,test,bbh,gpt-5.5,20,0.6411197322085059,0.14405312794809796,0.09473684210526315,0.3326843838611645,615.0
benchmark_label,diagnostic_label,test,bbh,qwen3-14b-awq-local,20,0.75,0.1973684210526316,0.1973684210526316,0.3894125129771229,843.0
benchmark_label,diagnostic_label,test,bbh,qwen3-32b-awq-local,20,0.85,0.13421052631578947,0.13421052631578947,0.32111778458837714,573.0
benchmark_label,diagnostic_label,test,bbh,qwen3-32b-awq-selfconsistency-n3-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,bbh,qwen3-4b-local,20,0.6,0.25263157894736843,0.25263157894736843,0.4405699657680288,1079.0
benchmark_label,diagnostic_label,test,bbh,qwen3-8b-local,20,0.1,0.09473684210526316,0.09473684210526316,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,gpqa,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,gpqa,gemini-3.5-flash,20,0.022499431620293338,0.050493910254343854,0.049999999999999996,0.1969656851500217,216.0
benchmark_label,diagnostic_label,test,gpqa,gemini-3.5-flash-strong-solve,20,0.3469477405092688,0.28331060709565814,0.2394736842105263,0.46655461164126977,1210.0
benchmark_label,diagnostic_label,test,gpqa,gpt-5.5,20,-0.49708933155321633,0.15658871134686073,0.09473684210526315,0.3468576634615704,669.0
benchmark_label,diagnostic_label,test,gpqa,qwen3-14b-awq-local,20,0.5,0.2631578947368421,0.2631578947368421,0.44965483838630105,1124.0
benchmark_label,diagnostic_label,test,gpqa,qwen3-32b-awq-local,20,0.3,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,gpqa,qwen3-32b-awq-selfconsistency-n3-local,20,0.4,0.2526315789473684,0.2526315789473684,0.4405699657680288,1079.0
benchmark_label,diagnostic_label,test,gpqa,qwen3-4b-local,19,0.2631578947368421,0.2046783625730994,0.2046783625730994,0.4068602236798332,874.0
benchmark_label,diagnostic_label,test,gpqa,qwen3-8b-local,20,0.15,0.13421052631578947,0.13421052631578947,0.32111778458837714,573.0
benchmark_label,diagnostic_label,test,gsm8k,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,gsm8k,gemini-3.5-flash,20,0.9901245477148717,0.0002793811724312368,0.0,0.014651079905671386,2.0
benchmark_label,diagnostic_label,test,gsm8k,gemini-3.5-flash-strong-solve,20,0.9137417645408462,0.006915837862107359,0.0,0.07289428335757424,30.0
benchmark_label,diagnostic_label,test,gsm8k,gpt-5.5,20,0.8251584610373696,0.06456011841615075,0.049999999999999996,0.22271692836759613,276.0
benchmark_label,diagnostic_label,test,gsm8k,qwen3-14b-awq-local,20,0.45,0.2605263157894736,0.2605263157894736,0.44740091522857706,1113.0
benchmark_label,diagnostic_label,test,gsm8k,qwen3-32b-awq-local,20,0.35,0.23947368421052637,0.23947368421052637,0.42894337744349387,1023.0
benchmark_label,diagnostic_label,test,gsm8k,qwen3-32b-awq-selfconsistency-n3-local,20,0.4,0.25263157894736843,0.25263157894736843,0.4405699657680288,1079.0
benchmark_label,diagnostic_label,test,gsm8k,qwen3-4b-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,gsm8k,qwen3-8b-local,20,0.7,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,humaneval,deterministic_math_tool,20,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,test,humaneval,gemini-3.5-flash,20,-0.03967289143222011,0.00020164226397696117,0.0,0.012446918665227102,1.0
benchmark_label,diagnostic_label,test,humaneval,gemini-3.5-flash-strong-solve,20,0.30388567344530043,0.3216715162792746,0.25263157894736843,0.49713847103970166,1374.0
benchmark_label,diagnostic_label,test,humaneval,gpt-5.5,20,0.48601939101943953,0.2479858620171276,0.13421052631578945,0.4365002835107894,1059.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-14b-awq-local,20,0.65,0.2394736842105263,0.2394736842105263,0.4289433774434938,1023.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-32b-awq-local,20,0.9,0.09473684210526313,0.09473684210526313,0.26979290303178055,405.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-32b-awq-selfconsistency-n3-local,20,0.8,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-4b-local,19,0.631578947368421,0.24561403508771928,0.24561403508771928,0.4456930445220844,1049.0
benchmark_label,diagnostic_label,test,humaneval,qwen3-8b-local,20,0.7,0.2210526315789474,0.2210526315789474,0.41211546670167193,944.0
benchmark_label,diagnostic_label,test,livemathbench,deterministic_math_tool,20,0.4,0.2526315789473684,0.2526315789473684,0.4405699657680288,1079.0
benchmark_label,diagnostic_label,test,livemathbench,gemini-3.5-flash,20,0.18308105336480787,0.17150124141349693,0.16842105263157894,0.3629983936642392,733.0
benchmark_label,diagnostic_label,test,livemathbench,gemini-3.5-flash-strong-solve,20,0.21450369567741215,0.32285311047439286,0.2631578947368421,0.49805070207729407,1379.0
benchmark_label,diagnostic_label,test,livemathbench,gpt-5.5,20,0.20109918991783093,0.39063417100524755,0.25263157894736843,0.547843085442129,1668.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-14b-awq-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-32b-awq-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-32b-awq-selfconsistency-n3-local,20,0.05,0.04999999999999999,0.04999999999999999,0.19599999999999998,214.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-4b-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,livemathbench,qwen3-8b-local,20,0.1,0.09473684210526315,0.09473684210526315,0.2697929030317806,405.0
benchmark_label,diagnostic_label,test,math500,deterministic_math_tool,20,0.2,0.16842105263157894,0.16842105263157894,0.3597238707090408,719.0
benchmark_label,diagnostic_label,test,math500,gemini-3.5-flash,20,0.5848974376959096,0.25702830124991954,0.2526315789473684,0.44438720100418977,1098.0
benchmark_label,diagnostic_label,test,math500,gemini-3.5-flash-strong-solve,20,0.7163049393405829,0.1402792431846934,0.09473684210526313,0.32829765171816816,599.0
benchmark_label,diagnostic_label,test,math500,gpt-5.5,20,0.509147970602273,0.3343642906966953,0.16842105263157894,0.5068518243314163,1428.0
benchmark_label,diagnostic_label,test,math500,qwen3-14b-awq-local,20,0.25,0.1973684210526316,0.1973684210526316,0.3894125129771229,843.0
