ablation,source_method,source_family,split,n_queries,mean_quality,mean_utility,oracle_utility_ratio,frontier_call_rate,remote_cost_per_1k_queries,deployable,notes,utility_delta_vs_full,quality_delta_vs_full
full_method,et_flip_leaf4_thr0.8502_capNone,probecode_statecal,test,172,0.8546511627906976,0.8238150117452017,0.9734829916564534,0.191860465116279,0.6353517441860448,True,validation selected ProbeCode-StateCal current best,0.0,0.0
compact_routecode_state_policy,gb_depth2_thr0.9844_state_k8,learned_verifiability_state,test,172,0.8488372093023255,0.8135597755084839,0.9613646181022804,0.2383720930232558,0.7268604651162768,True,Uses compact learned RouteCode state policy without the residual flip that creates the final current-best method.,-0.010255236236717757,-0.005813953488372103
large_only_action_pool_diagnostic,always_best_large_action,reference,test,172,0.813953488372093,0.7688534253262874,0.9085361664463568,0.2906976744186046,0.9292470930232535,False,Per-query large/frontier-style upper bound within the cached large action pool.,-0.05496158641891424,-0.04069767441860461
no_verifiable_tool_actions,extratrees_d3_leaf8_thr0.5997_tool_cap_e0.75,learned_verifiability_global,test,172,0.7674418604651163,0.7359813987311794,0.8696920590492052,0.2209302325581395,0.648215116279068,True,Removes deterministic/verifiable tool-style local actions from the selected learned-verifiability package.,-0.08783361301402226,-0.08720930232558133
local_only_action_pool_diagnostic,always_best_local_action,reference,test,172,0.6918604651162791,0.6918604651162791,0.8175553805015299,0.0,0.0,False,Per-query local-only upper bound within the cached local/verifiable action pool.,-0.1319545466289226,-0.16279069767441856
random_query_calibration_budget160,random_query_route_state_calibration,new_model_calibration,test_simulated_onboarding,172,0.7846683893195521,0.6752224224774538,,0.5523255813953488,2.2550377906976715,True,Random query calibration at the same budget.,-0.14859258926774788,-0.06998277347114557
direct_probe_action_predictor_no_state,probe_utility_ridge_alpha100,direct_probe_utility_router,test,172,0.75,0.6732968361002541,0.7956191729150265,0.4709302325581395,,True,"Direct utility predictor over probe features, without an explicit RouteCode state table.",-0.15051817564494752,-0.10465116279069764
active_state_calibration_budget160,active_route_state_calibration,new_model_calibration,test_simulated_onboarding,172,0.7818690783807063,0.6731043430584293,,0.535099052540913,2.2410016149870775,True,Active state calibration at 160 new-model evaluations.,-0.1507106686867724,-0.07278208440999134
no_active_calibration_uniform_budget160,uniform_route_state_calibration,new_model_calibration,test_simulated_onboarding,172,0.785099052540913,0.6728142552513632,,0.5523255813953488,2.313529392764855,True,Uniform state calibration at the same budget.,-0.15100075649383848,-0.0695521102497847
no_probe_local_behavior_features,benchmark_lookup_train,benchmark_lookup,test,172,0.7790697674418605,0.6651777208879347,0.7860250037704896,0.6976744186046512,,False,Uses train benchmark lookup only; this removes local probe-behavior features and is a diagnostic label baseline.,-0.15863729085726697,-0.07558139534883712
direct_action_probability_no_state,et_actionprob_direct_depthnone_leaf4,decision_aware_direct_probe_router,test,172,0.6802325581395349,0.6208371206564655,0.7336287503036687,0.2674418604651162,,True,Decision-aware direct action predictor without discrete state abstraction.,-0.2029778910887362,-0.17441860465116277
